tiedot-href,nimeke,ISSN,ulkoasu,kustantaja,julkaisupaikka,alkupvm,loppupvm,kieli,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0519/data,Arbetaren,1458-0519,A5,V. J. von  Wright,Helsingfors,1886-01-01,1889-12-28,sv,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0527/data,Arbetaren,1458-0527,A3,Tidnings Ab Arbetaren,Helsingfors,1900-08-01,1907-11-01,sv,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0616/data,Eteenpäin,1458-0616,A3,Johan Fredrik Holmström,Uusikaupunki,1890-03-01,1890-12-27,fi,
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14940/data,Eteenpäin,fk14940,A2,Kyminlaakson työväen sanomalehti - ja kirjapaino-osuuskunta,Kotka,1905-07-25,1918-05-02,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10061/data,Forssan Sanomat,fk10061,A2,Lounais-Hämeen Sanomalehti Oy,Forssa,1904-11-29,1907-02-08,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10105/data,Hämeen Voima,fk10105,A2,Osuuskunta Hämeen Voima il,Hämeenlinna,1906-02-17,1918-04-25,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10180/data,Kansan Ääni,fk10180,A2,Osuuskunta Saimaa rl,Lappeenranta,1907-11-29,1918-04-25,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0926/data,Kansan Lehti,1458-0926,A4,Volmar Schildt,Jyväskylä,1867-11-30,1870-12-31,fi,
http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0934/data,Kansan Lehti,1458-0934,A3,Otto Edvard Könni,Vaasa,1886-05-20,1887-12-29,fi,
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk19511/data,Kansan Lehti,fk19511,A2,Tampereen Työväen Sanomalehti Oy,Tampere,1898-12-15,1918-04-03,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10173/data,Kansan Tahto,fk10173,A2,Osuuskunta Kansan Tahto,Oulu,1906-01-19,1914-09-22,fi,sosialistinen
http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10206/data,Keski-Suomen Sosialisti,fk10206,A2,Osuuskunta Työväki rl,Jyväskylä,1907-06-10,1908-01-21,fi,sosialistinen
