nimeke,kieli,sosialistinen,alkupvm,loppupvm,julkaisupaikka,kustantaja,ulkoasu,issn,wikipedia,field_11,tiedot_href,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
Rajavahti,fi,sosialistinen,1906-06-02 00:00:00+00,1914-09-10,Sortavala,"Karjalan Työväen Sanomalehti-, Kirjapaino- ja Kirjansitomo-osuuskuntat rl",A2,fk10401,Viikko Pohjois-Karjala,Lue Wikipedia-artikkeli: Viikko Pohjois-Karjala,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10401/data,0101000020E6100000657A7885F4B03E40BF0D315EF3D94E40,15,2015-05-14 09:10:36.002899+00,2015-05-14 10:22:15.618934+00,false
Työ,fi,sosialistinen,1904-12-17 00:00:00+00,1918-04-24,Viipuri,Viipurin Työväen Sanomalehti- ja Kirjapaino-Osuuskunta rl,A2,fk14794,Saimaan Sanomat,Lue Wikipedia-artikkeli: Saimaan Sanomat,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14794/data,0101000020E6100000CF262C96C75A4E40DF104F1B7ABE3C40,19,2015-05-14 09:10:36.002899+00,2015-05-14 10:23:20.357222+00,false
Länsisuomen Työmies,fi,sosialistinen,1898-12-19 00:00:00+00,1906-04-03,Turku,Turun Työväen Sanomalehti Oy,A2,fk10276,Länsisuomen Työmies,Lue Wikipedia-artikkeli: Länsisuomen Työmies,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10276/data,0101000020E610000022C32ADEC84436402766BD18CA394E40,13,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Raivaaja,fi,sosialistinen,1908-01-04 00:00:00+00,1914-01-13,Lahti,Työväen Kirjateollisuus,A2,fk10397,Raivaaja (Lahti),Lue Wikipedia-artikkeli: Raivaaja (Lahti),http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10397/data,0101000020E61000001AFA27B858A9394052616C21C87D4E40,14,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Suomen Sosialisti,fi,sosialistinen,1908-01-24 00:00:00+00,1908-02-28,Jyväskylä,Osuuskunta Työväki rl,A3,fk10207,,Tee tai lue Wikipedia-artikkeli: Suomen Sosialisti,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10207/data,0101000020E61000002A5778978BB83940897B2C7DE81E4F40,263,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Sorretun Voima,fi,sosialistinen,1906-03-09 00:00:00+00,1918-02-04,Jyväskylä,"Keski-Suomen Sanomalehti-, Kirjapaino- ja Kirjakauppa Osuuskunta il",A2,fk25048,Työn Voima,Lue Wikipedia-artikkeli: Työn Voima,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk25048/data,0101000020E61000002A5778978BB83940897B2C7DE81E4F40,17,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Keski-Suomen Sosialisti,fi,sosialistinen,1907-06-10 00:00:00+00,1908-01-21,Jyväskylä,Osuuskunta Työväki rl,A2,fk10206,Keski-Suomen Sosialisti,Lue Wikipedia-artikkeli: Keski-Suomen Sosialisti,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10206/data,0101000020E61000002A5778978BB83940897B2C7DE81E4F40,12,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Elämä,fi,sosialistinen,1905-12-16 00:00:00+00,1907-06-12,Helsinki,Elämä Osuuskunta,A2,fk10035,Elämä,Lue Wikipedia-artikkeli: Elämä,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10035/data,0101000020E61000000F0BB5A679EF38404B02D4D4B2154E40,55,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Työmies,fi,sosialistinen,1895-02-14 00:00:00+00,1918-04-12,Helsinki,Työväen Sanomalehti Oy,A2,fk14802,Työmies,Lue Wikipedia-artikkeli: Työmies,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14802/data,0101000020E61000000F0BB5A679EF38404B02D4D4B2154E40,21,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Kansan Ääni,fi,sosialistinen,1907-11-29 00:00:00+00,1918-04-25,Lappeenranta,Osuuskunta Saimaa rl,A2,fk10180,Kansan Ääni (1907),Lue Wikipedia-artikkeli: Kansan Ääni (1907),http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10180/data,0101000020E61000009C6D6E4C4F303C405DF92CCF83874E40,7,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
