Nimeke,Ilmestymispvm (dd/mm/yyyy),Julkaisuloppuu (dd/mm/yyyy),ISSN,Nimekkeen kotisivun URL,Kieli (RFC3066),Ilmestymispaikka,Koordinaatit,Lähde,LähdeURL
Tidningar Utgifne af et Sällskap i Åbo,1771-01-15,1785-05-26,1457-4756,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4756,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Nya Tidningar,1789-01-01,1789-12-24,1457-4764,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4764,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Tidningar,1791-01-01,1799-12-30,1457-4772,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4772,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Tidning,1800-01-01,1809-12-30,1457-4780,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4780,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Allmänna Tidning,1810-01-01,1819-12-30,1457-4799,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4799,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Tidningar,1820-01-01,1861-01-15,1457-4802,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4802,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Finlands Allmänna Tidning,1820-01-03,1917-12-31,1457-4314,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4314,sv,Helsinki ,"60.170014, 24.938466",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Turun Wiikko-Sanomat,1820-01-08,1831-12-31,1457-4888,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4888,fi,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Wiburgs Mancherley,1821-01-01,1821-12-01,1457-4861,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4861,sv,Viipuri,"60.713953, 28.757157",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Morgonblad,1821-01-05,1821-10-03,1457-4829,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4829,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Wiburgs Wochenblatt,1823-01-01,1832-12-29,1457-4578,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4578,sv,Viipuri,"60.713953, 28.757157",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Åbo Underrättelser,1824-01-03,1910-12-31,0785-398X,http://digi.kansalliskirjasto.fi/sanomalehti/titles/0785-398X,sv,Turku ,"60.449325, 22.259231",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
Oulun Wiikko-Sanomia,1829-01-01,1879-12-27,1457-4527,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4527,fi,Oulu ,"65.012615, 25.471453",Kansalliskirjasto - Digitoidut aineistot,http://digi.kansalliskirjasto.fi/
